# HEADER DATA
County Name,Reporting Unit,Total Votes,Donald J. Trump / Michael R. Pence,Hillary Clinton / Tim Kaine,Other
# VOTE DATA
ALCONA,0200001,712,500,199,13
ALCONA,0400001,633,441,178,14
ALCONA,0600001,623,401,214,8
ALCONA,0800001,779,501,256,22
ALCONA,1000001,345,249,80,16
ALCONA,1200001,778,541,216,21
ALCONA,1400001,599,417,160,22
ALCONA,1600001,453,318,121,14
ALCONA,1800001,489,382,96,11
ALCONA,2000001,209,135,72,2
ALCONA,2200001,226,179,42,5
ALCONA,5201001,251,137,98,16
ALCONA,9999009999,0,0,0,0
ALGER,0200001,623,396,199,28
ALGER,0400001,317,200,101,16
ALGER,0600001,26,9,15,2
ALGER,0800001,217,135,75,7
ALGER,1000001,230,108,111,11
ALGER,1200001,529,345,166,18
ALGER,1200002,593,422,158,13
ALGER,1400001,272,138,121,13
ALGER,1600001,617,314,276,27
ALGER,5200001,1001,518,441,42
ALGER,9999009999,0,0,0,0
ALLEGAN,0200001,1467,835,554,78
ALLEGAN,0200002,583,354,209,20
ALLEGAN,0400001,1404,730,605,69
ALLEGAN,0600001,849,516,290,43
ALLEGAN,0800001,749,409,310,30
ALLEGAN,1000001,1090,782,261,47
ALLEGAN,1000002,1592,1163,348,81
ALLEGAN,1000003,1198,810,330,58
ALLEGAN,1200001,1429,1163,227,39
ALLEGAN,1400001,1381,727,602,52
ALLEGAN,1600001,1841,1009,743,89
ALLEGAN,1600002,1159,648,445,66
ALLEGAN,1800001,1819,1401,348,70
ALLEGAN,2000001,1296,905,306,85
ALLEGAN,2200001,1335,759,523,53
ALLEGAN,2200002,1662,1151,459,52
ALLEGAN,2200003,618,342,254,22
ALLEGAN,2400001,941,521,381,39
ALLEGAN,2600001,1829,1339,410,80
ALLEGAN,2600002,1153,894,202,57
ALLEGAN,2800001,1634,1141,424,69
ALLEGAN,3000001,1198,839,296,63
ALLEGAN,3200001,1056,748,256,52
ALLEGAN,3400001,1378,786,522,70
ALLEGAN,3400002,1289,728,499,62
ALLEGAN,3600001,1673,1437,194,42
ALLEGAN,3800001,1231,1023,166,42
ALLEGAN,3800002,1231,925,248,58
ALLEGAN,4000001,2006,920,1010,76
ALLEGAN,4200001,1141,723,361,57
ALLEGAN,4400001,928,579,307,42
ALLEGAN,4600001,959,648,265,46
ALLEGAN,4800001,1574,1039,455,80
ALLEGAN,5200001,589,274,283,32
ALLEGAN,5200002,1211,667,475,69
ALLEGAN,5300001,790,245,528,17
ALLEGAN,5400001,461,229,204,28
ALLEGAN,5604009,866,473,370,23
ALLEGAN,5605011,798,445,316,37
ALLEGAN,5605012,939,583,312,44
ALLEGAN,5605013,808,430,335,43
ALLEGAN,5800001,1587,831,651,105
ALLEGAN,6000001,1636,786,748,102
ALLEGAN,6200001,558,180,364,14
ALLEGAN,6300001,5,1,4,0
ALLEGAN,6400001,1805,1045,650,110
ALPENA,0200001,884,582,280,22
ALPENA,0200002,1100,669,394,37
ALPENA,0200003,1143,680,407,56
ALPENA,0200004,637,387,230,20
ALPENA,0200005,1029,625,366,38
ALPENA,0400001,619,454,158,7
ALPENA,0600001,523,338,158,27
ALPENA,0800001,805,569,217,19
ALPENA,1000001,868,661,181,26
ALPENA,1200001,985,657,303,25
ALPENA,1400001,126,89,33,4
ALPENA,1600001,1027,780,213,34
ALPENA,5200001,1224,676,488,60
ALPENA,5200003,778,406,355,17
ALPENA,5200004,861,502,329,30
ALPENA,5200005,889,466,390,33
ALPENA,5200006,967,549,375,43
ALPENA,9999009999,0,0,0,0
ANTRIM,0200001,977,681,269,27
ANTRIM,0400001,1257,806,404,47
ANTRIM,0600001,236,158,72,6
ANTRIM,0800001,652,447,182,23
ANTRIM,1000001,494,327,144,23
ANTRIM,1200001,1754,976,719,59
ANTRIM,1400001,1226,723,450,53
ANTRIM,1600001,636,391,228,17
ANTRIM,1800001,466,286,161,19
ANTRIM,2000001,1015,636,358,21
ANTRIM,2200001,926,656,236,34
ANTRIM,2200002,718,498,201,19
ANTRIM,2400001,1502,900,549,53
ANTRIM,2600001,496,361,116,19
ANTRIM,2800001,844,489,324,31
ANTRIM,3000001,177,134,35,8
ANTRIM,9999009999,0,0,0,0
ARENAC,0200001,248,185,54,9
ARENAC,0400001,419,280,123,16
ARENAC,0600001,567,376,170,21
ARENAC,0800001,441,290,135,16
ARENAC,1000001,1029,644,337,48
ARENAC,1200001,396,276,106,14
ARENAC,1400001,316,221,86,9
ARENAC,1600001,683,442,212,29
ARENAC,1800001,646,415,222,9
ARENAC,2000001,851,500,314,37
ARENAC,2200001,279,209,62,8
ARENAC,2400001,568,378,178,12
ARENAC,5200001,467,310,141,16
ARENAC,5401001,128,79,45,4
ARENAC,5600001,164,101,56,7
ARENAC,5600002,224,137,81,6
ARENAC,5600003,178,107,62,9
ARENAC,9999009999,0,0,0,0
BARAGA,0200001,290,203,77,10
BARAGA,0400001,542,280,243,19
BARAGA,0400002,220,150,64,6
BARAGA,0400003,184,124,55,5
BARAGA,0400004,235,157,75,3
BARAGA,0600001,244,158,76,10
BARAGA,0800001,1543,1003,491,49
BARAGA,1000001,162,83,75,4
BARAGA,9999009999,0,0,0,0
BARRY,0200001,997,740,222,35
BARRY,0400001,896,621,233,42
BARRY,0600001,805,519,243,43
BARRY,0600002,927,544,336,47
BARRY,0800001,1245,840,336,69
BARRY,1000001,1283,862,380,41
BARRY,1200001,1464,933,462,69
BARRY,1400001,1624,1023,539,62
BARRY,1600001,439,351,64,24
BARRY,1600002,1293,892,333,68
BARRY,1800001,1529,984,479,66
BARRY,2000001,702,509,164,29
BARRY,2200001,1523,967,479,77
BARRY,2400001,875,485,356,34
BARRY,2400002,859,487,339,33
BARRY,2600001,935,581,309,45
BARRY,2600002,1233,739,430,64
BARRY,2800001,1556,1129,357,70
BARRY,2800002,1141,828,274,39
BARRY,2800003,1552,940,506,106
BARRY,3000001,1039,696,295,48
BARRY,3200001,1440,974,393,73
BARRY,3200002,1155,781,332,42
BARRY,5200001,896,488,368,40
BARRY,5200002,716,402,266,48
BARRY,5200003,706,401,261,44
BARRY,5200004,910,486,358,66
BARRY,9999009999,0,0,0,0
BAY,0200001,1023,615,381,27
BAY,0200002,1288,733,511,44
BAY,0200003,1195,641,507,47
BAY,0200004,1062,579,459,24
BAY,0200005,1672,934,675,63
BAY,0200006,1341,716,562,63
BAY,0400001,1498,988,448,62
BAY,0600001,2109,1375,670,64
BAY,0800001,1596,963,566,67
BAY,1000001,899,560,303,36
BAY,1200001,558,380,153,25
BAY,1400001,686,358,305,23
BAY,1400002,1032,595,411,26
BAY,1400003,1022,530,457,35
BAY,1400004,1154,504,602,48
BAY,1400005,865,446,375,44
BAY,1600001,1353,832,470,51
BAY,1600002,1108,666,414,28
BAY,1800001,793,525,243,25
BAY,2000001,683,355,302,26
BAY,2000002,1428,783,593,52
BAY,2000003,1155,727,380,48
BAY,2000004,979,521,433,25
BAY,2000005,1244,767,426,51
BAY,2000006,755,435,285,35
BAY,2200001,697,469,200,28
BAY,2400001,1220,781,396,43
BAY,2600001,794,437,319,38
BAY,2600002,1095,582,467,46
BAY,2800001,1338,851,406,81
BAY,2800002,917,540,331,46
BAY,2800003,395,244,130,21
BAY,5200001,1060,616,392,52
BAY,5401001,1494,644,787,63
BAY,5402001,1599,623,907,69
BAY,5403001,1327,524,746,57
BAY,5404001,1388,559,747,82
BAY,5405001,1807,848,895,64
BAY,5406001,1406,676,667,63
BAY,5407001,1546,735,726,85
BAY,5408001,1483,664,728,91
BAY,5409001,1613,756,768,89
BAY,5600001,951,457,438,56
BAY,5600002,973,483,443,47
BAY,5801006,59,31,20,8
BAY,6000001,499,280,198,21
BAY,9999009999,0,0,0,0
BENZIE,0200001,2023,1214,751,58
BENZIE,0400001,1605,825,724,56
BENZIE,0600001,364,198,145,21
BENZIE,0800001,301,204,90,7
BENZIE,1000001,732,346,364,22
BENZIE,1200001,439,190,238,11
BENZIE,1400001,1157,700,406,51
BENZIE,1600001,1149,726,375,48
BENZIE,1800001,416,238,153,25
BENZIE,2000001,592,305,268,19
BENZIE,2200001,217,100,103,14
BENZIE,2400001,317,200,106,11
BENZIE,5200001,717,293,385,39
BENZIE,9999009999,0,0,0,0
BERRIEN,0200001,1424,1075,303,46
BERRIEN,0400001,1374,978,339,57
BERRIEN,0600001,1241,483,737,21
BERRIEN,0600002,732,139,576,17
BERRIEN,0600003,644,234,387,23
BERRIEN,0600004,859,340,487,32
BERRIEN,0600005,998,349,633,16
BERRIEN,0600006,1075,122,936,17
BERRIEN,0800001,1247,727,463,57
BERRIEN,0800002,940,636,252,52
BERRIEN,1000001,1461,965,442,54
BERRIEN,1200001,1597,1042,497,58
BERRIEN,1400001,1749,845,829,75
BERRIEN,1600001,1276,896,332,48
BERRIEN,1600002,992,702,259,31
BERRIEN,1800001,616,399,195,22
BERRIEN,2000001,796,525,232,39
BERRIEN,2000002,882,577,285,20
BERRIEN,2200001,1690,1152,464,74
BERRIEN,2400001,1754,1147,529,78
BERRIEN,2400002,1153,732,371,50
BERRIEN,2400003,1647,963,614,70
BERRIEN,2400004,1571,999,488,84
BERRIEN,2400005,1015,664,308,43
