# HEADER DATA
County Name,Reporting Unit,Total Votes,Donald J. Trump / Michael R. Pence,Hillary Clinton / Tim Kaine,Other
# VOTE DATA
ALAMANCE,ALAMANCE_01,2291,1865,411,15
ALAMANCE,ALAMANCE_02,2426,2004,403,19
ALAMANCE,ALAMANCE_035,2493,1485,995,13
ALAMANCE,ALAMANCE_03C,1766,1059,679,28
ALAMANCE,ALAMANCE_03N,2219,1160,1036,23
ALAMANCE,ALAMANCE_03N2,531,214,310,7
ALAMANCE,ALAMANCE_03S,3870,2045,1782,43
ALAMANCE,ALAMANCE_03W,1879,1201,665,13
ALAMANCE,ALAMANCE_04,2637,2043,577,17
ALAMANCE,ALAMANCE_05,1787,1448,327,12
ALAMANCE,ALAMANCE_063,1526,528,996,2
ALAMANCE,ALAMANCE_064,2876,1800,1054,22
ALAMANCE,ALAMANCE_06E,1423,671,741,11
ALAMANCE,ALAMANCE_06N,1264,423,834,7
ALAMANCE,ALAMANCE_06S,1910,1183,716,11
ALAMANCE,ALAMANCE_06W,621,271,339,11
ALAMANCE,ALAMANCE_07,2127,1670,450,7
ALAMANCE,ALAMANCE_08N,1856,1204,638,14
ALAMANCE,ALAMANCE_08S,1001,723,276,2
ALAMANCE,ALAMANCE_09N,1408,853,550,5
ALAMANCE,ALAMANCE_09S,2872,1771,1085,16
ALAMANCE,ALAMANCE_103,1922,1314,602,6
ALAMANCE,ALAMANCE_10N,2447,1464,954,29
ALAMANCE,ALAMANCE_10S,4736,2240,2445,51
ALAMANCE,ALAMANCE_11,2188,1037,1142,9
ALAMANCE,ALAMANCE_1210,1186,569,607,10
ALAMANCE,ALAMANCE_124,1225,666,543,16
ALAMANCE,ALAMANCE_125,1408,874,523,11
ALAMANCE,ALAMANCE_126,1398,809,578,11
ALAMANCE,ALAMANCE_127,2479,637,1831,11
ALAMANCE,ALAMANCE_128,1120,325,788,7
ALAMANCE,ALAMANCE_129,1160,771,381,8
ALAMANCE,ALAMANCE_12E,879,322,552,5
ALAMANCE,ALAMANCE_12N,2071,289,1777,5
ALAMANCE,ALAMANCE_12S,696,198,493,5
ALAMANCE,ALAMANCE_12W,1336,618,706,12
ALAMANCE,ALAMANCE_13,2112,1061,1047,4
ALEXANDER,ALEXANDER_B1,2111,1669,419,23
ALEXANDER,ALEXANDER_B2,2426,1931,483,12
ALEXANDER,ALEXANDER_E,1710,1328,361,21
ALEXANDER,ALEXANDER_G1G2,1176,924,240,12
ALEXANDER,ALEXANDER_LRSL,1463,1207,240,16
ALEXANDER,ALEXANDER_M,1161,892,264,5
ALEXANDER,ALEXANDER_S1S2,1914,1528,368,18
ALEXANDER,ALEXANDER_T1T4T5,2690,2049,626,15
ALEXANDER,ALEXANDER_T2T3,1921,1339,560,22
ALEXANDER,ALEXANDER_W,1239,1026,206,7
ALLEGHANY,ALLEGHANY_01,842,653,177,12
ALLEGHANY,ALLEGHANY_03A,2385,1663,688,34
ALLEGHANY,ALLEGHANY_04,941,755,176,10
ALLEGHANY,ALLEGHANY_06A,1018,743,265,10
ALLEGHANY,ALLEGHANY_ABSENTEE,0,0,0,0
ALLEGHANY,ALLEGHANY_CURBSIDE,0,0,0,0
ALLEGHANY,ALLEGHANY_PROVISIONAL,0,0,0,0
ANSON,ANSON_ABSENTEE,222,85,135,2
ANSON,ANSON_ANS,462,251,209,2
ANSON,ANSON_BURN,567,441,123,3
ANSON,ANSON_GULL,306,174,132,0
ANSON,ANSON_LILE,543,278,263,2
ANSON,ANSON_MM,349,92,255,2
ANSON,ANSON_ONE STOP,5760,2021,3724,15
ANSON,ANSON_PEAC,549,431,111,7
ANSON,ANSON_POLK,332,202,129,1
ANSON,ANSON_PROVISIONAL,94,23,70,1
ANSON,ANSON_W1,456,132,320,4
ANSON,ANSON_W2,254,102,150,2
ANSON,ANSON_W3,366,185,177,4
ANSON,ANSON_WS,153,89,61,3
ASHE,ASHE_02,449,349,90,10
ASHE,ASHE_03,216,186,24,6
ASHE,ASHE_04,173,127,44,2
ASHE,ASHE_06,207,163,40,4
ASHE,ASHE_07,158,119,38,1
ASHE,ASHE_08,75,47,27,1
ASHE,ASHE_09,804,591,208,5
ASHE,ASHE_10,94,71,21,2
ASHE,ASHE_11,626,485,130,11
ASHE,ASHE_12,336,261,72,3
ASHE,ASHE_13,390,298,88,4
ASHE,ASHE_14,439,333,100,6
ASHE,ASHE_15,347,284,58,5
ASHE,ASHE_16,445,356,82,7
ASHE,ASHE_17,343,295,46,2
ASHE,ASHE_18,76,64,12,0
ASHE,ASHE_20,777,588,176,13
ASHE,ASHE_ABSENTEE,464,295,165,4
ASHE,ASHE_ONE STOP,6614,4458,2064,92
ASHE,ASHE_PROVISIONAL,59,42,15,2
AVERY,AVERY_01,376,303,72,1
AVERY,AVERY_02,800,550,238,12
AVERY,AVERY_03,238,209,28,1
